match_id,game_duration,blue_top_champion,blue_jungle_champion,blue_mid_champion,blue_adc_champion,blue_support_champion,blue_num_tanks,blue_num_fighters,blue_num_mages,blue_num_marksmans,blue_num_controllers,red_top_champion,red_jungle_champion,red_mid_champion,red_adc_champion,red_support_champion,red_num_tanks,red_num_fighters,red_num_mages,red_num_marksmans,red_num_controllers,gold_diff_5,xp_diff_5,cs_diff_5,kills_diff_5,dragon_diff_5,herald_diff_5,tower_diff_5,wards_placed_diff_5,wards_killed_diff_5,gold_diff_10,xp_diff_10,cs_diff_10,kills_diff_10,dragon_diff_10,herald_diff_10,tower_diff_10,wards_placed_diff_10,wards_killed_diff_10,gold_diff_15,xp_diff_15,cs_diff_15,kills_diff_15,dragon_diff_15,herald_diff_15,tower_diff_15,wards_placed_diff_15,wards_killed_diff_15,gold_lead_gt_1500_10,kill_lead_gt_3_10,tower_lead_gt_1_10,double_objective_10,wards_lead_gt_5_10,first_blood_blue,first_tower_blue,first_dragon_blue,first_herald_blue,first_tower_time,first_dragon_time,first_herald_time,first_blood_time,blue_wins,processed_at
LA1_1712230768,27.6,Sion,Evelynn,Sylas,Yunara,Seraphine,1,0,3,0,1,Sett,Jax,Lissandra,Draven,Mel,0,2,2,1,0,707,1000,5,1,0,0,0,0,0,682,1589,-10,3,1,0,0,1,1,267,1318,-15,3,1,0,0,0,1,0,0,0,0,0,1,1,1,1,958.922,508.421,928.912,139.445,1,
LA1_1712234018,22.4,Sion,Warwick,TwistedFate,Smolder,Seraphine,1,1,1,1,1,Ornn,Talon,Fizz,Yunara,Milio,1,2,1,0,1,89,570,4,0,0,0,0,26,-1,-1618,-51,17,-4,0,0,0,102,-1,-5579,-2852,7,-11,1,0,-1,216,-4,0,0,0,0,1,0,0,1,0,798.907,670.408,933.077,180.206,0,
LA1_1712236342,35.483333333333334,Karma,Viego,Akali,MissFortune,Ashe,0,1,1,2,1,Jax,Shyvana,Renekton,Jinx,Lux,0,3,1,1,0,233,672,6,1,0,0,0,-2,0,742,-376,-16,4,1,0,0,0,-1,1161,412,-10,4,2,0,1,-3,-2,0,1,0,0,0,1,1,1,1,770.056,432.962,1042.401,83.55,1,
LA1_1712240612,30.45,MasterYi,Nocturne,Irelia,Tristana,Anivia,0,3,1,1,0,Shen,Viego,AurelionSol,MissFortune,Bard,1,1,1,1,1,433,-1153,-9,1,0,0,0,-14,0,-766,-1951,7,0,0,0,0,-42,1,-843,-1590,42,-1,1,0,0,-72,1,0,0,0,0,0,1,0,1,0,943.831,569.883,918.603,165.463,0,
LA1_1712241093,29.483333333333334,Shen,Evelynn,Vladimir,Kaisa,Thresh,1,0,2,1,1,Ambessa,RekSai,Sylas,Caitlyn,Lulu,0,2,1,1,1,-125,5,11,0,0,0,0,3,0,-334,553,21,-1,-1,0,0,8,0,163,941,37,0,-2,0,0,23,3,0,0,0,0,1,0,1,0,1,907.643,387.008,1095.829,84.16,1,
LA1_1712242108,28.083333333333332,Volibear,Graves,AurelionSol,Jhin,Swain,0,1,2,2,0,Shen,Ambessa,Fizz,Caitlyn,Milio,1,2,0,1,1,-403,-374,8,-1,0,0,0,-7,0,-958,-1491,-8,-3,0,0,0,-12,-1,-2597,-4369,-17,-6,-1,0,0,-31,-1,0,0,0,0,0,0,0,0,0,908.29,832.519,1003.085,110.382,0,
LA1_1712242402,39.53333333333333,Mordekaiser,LeeSin,Malzahar,Ezreal,Pantheon,0,3,1,1,0,Volibear,JarvanIV,Viktor,Caitlyn,Lux,1,1,2,1,0,-121,-437,-26,0,0,0,0,3,-1,-1520,-838,-42,-3,-1,0,0,6,-3,1258,1217,-60,3,0,0,0,12,-4,0,0,0,0,1,1,0,0,0,866.894,459.512,968.673,104.477,0,
LA1_1712243079,30.783333333333335,Yorick,Vayne,Galio,Yasuo,Milio,1,2,0,1,1,Pantheon,Rengar,Viktor,MissFortune,Lux,0,2,2,1,0,391,-51,1,1,0,0,0,19,0,1923,12,20,5,0,0,0,94,0,3459,1081,32,8,0,0,0,117,1,1,1,0,0,1,1,1,0,1,861.355,873.164,1087.46,112.784,1,
LA1_1712247302,28.816666666666666,Nasus,Graves,Ekko,Samira,Seraphine,0,2,0,2,1,Yone,MasterYi,Smolder,Senna,Mel,0,2,1,2,0,-987,-559,2,-2,0,0,0,-2,0,-2266,-1683,8,-7,0,0,0,0,1,-1676,-888,39,-7,-1,0,0,-1,0,0,0,0,0,0,0,1,0,0,904.455,542.841,1001.133,118.737,0,
LA1_1712250657,30.616666666666667,Ornn,Kayn,Annie,Viktor,Seraphine,1,1,2,0,1,Malphite,DrMundo,Shaco,Jhin,Mel,2,1,1,1,0,-178,-59,-2,0,0,0,0,2,0,-336,26,25,-4,1,0,0,-2,-3,1225,875,70,-4,0,0,0,-10,-5,0,0,0,0,0,0,1,1,1,883.574,363.444,1021.518,137.251,1,
LA1_1712253893,23.616666666666667,Renekton,Trundle,Zed,Varus,Soraka,0,3,0,1,1,Volibear,Sylas,Veigar,Vayne,Sona,0,1,2,1,1,152,-20,2,0,0,0,0,2,0,1570,1949,52,3,0,0,0,2,-1,4037,3534,61,7,1,0,2,3,-1,1,0,0,0,0,1,1,1,1,591.232,663.066,1063.002,167.827,1,
